Filename,Exposure,Moon_XC,Moon_YC,Moon_Radius,Mean_SB
DSC_3747-Position4-cal.fits,0.02,4658.0,2547.0,676.0,0.06018855795264244
DSC_3777-Position4-cal.fits,0.16667,4696.0,2354.0,673.0,0.11562439799308777
DSC_3914-Position3-cal.fits,0.00125,4188.0,2484.0,672.0,0.0005627313512377441
DSC_3944-Position3-cal.fits,0.01,4202.0,2415.0,675.0,0.003021534299477935
DSC_3902-Position2-cal.fits,0.07692,4857.0,1513.0,675.0,0.02791057899594307
DSC_3880-Position2-cal.fits,0.005,4849.0,1569.0,678.0,0.002012396464124322
DSC_3711-Position4-cal.fits,0.02,4637.0,2649.0,676.0,0.40427133440971375
DSC_3951-Position3-cal.fits,0.0025,4207.0,2394.0,675.0,0.000958380987867713
DSC_3788-Position4-cal.fits,0.00125,4710.0,2317.0,682.0,0.0018267735140398145
DSC_3928-Position3-cal.fits,0.04,4193.0,2460.0,675.0,0.010589322075247765
DSC_3797-Position4-cal.fits,0.00125,4717.0,2290.0,686.0,0.0018160237232223153
DSC_3748-Position4-cal.fits,0.04,4659.0,2545.0,675.0,0.10859799385070801
DSC_3814-Position1-cal.fits,0.33333,4754.0,2049.0,670.0,0.08051871508359909
DSC_3769-Position4-cal.fits,0.33333,4670.0,2486.0,672.0,0.18816988170146942
DSC_3789-Position4-cal.fits,0.0025,4707.0,2317.0,678.0,0.003325351746752858
DSC_3794-Position4-cal.fits,0.07692,4706.0,2306.0,674.0,0.0743878185749054
DSC_3938-Position3-cal.fits,0.07692,4198.0,2434.0,675.0,0.02206331305205822
DSC_3935-Position3-cal.fits,0.01,4207.0,2418.0,663.0,0.0029072940815240145
DSC_3690-Position4-cal.fits,0.0025,4640.0,2649.0,678.0,0.07804527133703232
DSC_3673-Position4-cal.fits,0.005,4167.0,2744.0,640.0,0.006181713193655014
DSC_3837-Position1-cal.fits,0.02,4766.0,1986.0,675.0,0.006939328275620937
DSC_3802-Position4-cal.fits,0.04,4710.0,2285.0,675.0,0.04429445043206215
DSC_3811-Position1-cal.fits,0.04,4751.0,2056.0,675.0,0.013757463544607162
DSC_3659-Position4-cal.fits,0.07692,4156.0,2754.0,643.0,0.016289852559566498
DSC_3920-Position3-cal.fits,0.07692,4189.0,2484.0,675.0,0.019666336476802826
DSC_3725-Position4-cal.fits,0.00125,3980.0,2882.0,0.0,0.011047770269215107
DSC_3845-Position1-cal.fits,0.01,4772.0,1964.0,676.0,0.0035670448560267687
DSC_3949-Position3-cal.fits,0.33333,4204.0,2403.0,672.0,0.07413433492183685
DSC_3649-Position4-cal.fits,0.04,4148.0,2758.0,642.0,0.013160375878214836
DSC_3901-Position2-cal.fits,0.04,4857.0,1516.0,675.0,0.014288806356489658
DSC_3804-Position4-cal.fits,0.16667,4711.0,2280.0,673.0,0.11548399180173874
DSC_3714-Position4-cal.fits,0.16667,nan,nan,nan,2.240269660949707
DSC_3830-Position1-cal.fits,0.07692,4763.0,2007.0,675.0,0.02693229727447033
DSC_3760-Position4-cal.fits,0.33333,4665.0,2511.0,672.0,0.30947625637054443
DSC_3824-Position1-cal.fits,0.00125,4760.0,2017.0,676.0,0.0006865360192023218
DSC_3927-Position3-cal.fits,0.02,4192.0,2461.0,674.0,0.005404409021139145
DSC_3733-Position4-cal.fits,0.33333,4652.0,2585.0,669.0,1.0296013355255127
DSC_3741-Position4-cal.fits,0.16667,4655.0,2565.0,672.0,0.4498285949230194
DSC_3799-Position4-cal.fits,0.005,4708.0,2291.0,677.0,0.0063306959345936775
DSC_3695-Position4-cal.fits,0.07692,nan,nan,nan,1.5836595296859741
DSC_3956-Position3-cal.fits,0.07692,4208.0,2385.0,675.0,0.023274164646863937
DSC_3847-Position1-cal.fits,0.04,4771.0,1960.0,675.0,0.013665769249200821
DSC_3877-Position2-cal.fits,0.33333,4843.0,1577.0,669.0,0.08243272453546524
DSC_3924-Position3-cal.fits,0.0025,4172.0,2489.0,698.0,0.0008766756509430707
DSC_3687-Position4-cal.fits,0.16667,nan,nan,nan,2.65518856048584
DSC_3851-Position1-cal.fits,0.00125,4775.0,1945.0,676.0,0.0006893296958878636
DSC_3666-Position4-cal.fits,0.02,4162.0,2749.0,641.0,0.011311346665024757
